soundtrack_appid,soundtrack_name,soundtrack_reviews,soundtrack_positive_percentage,main_game_appid,main_game_name,main_game_reviews,main_game_positive_percentage,main_game_genre
1554570,"Half-Life: Alyx - Final Hours ""Triage at Dawn"" Soundtrack Theme",36,91.67,1361700,Half-Life: Alyx - Final Hours,854,95.32,Action
3405480,Clair Obscur: Expedition 33 – Original Soundtrack,225,97.78,1903340,Clair Obscur: Expedition 33,38779,93.91,Action
2393240,Darkest Dungeon® II: The Soundtrack,29,89.66,1940340,Darkest Dungeon® II,19554,75.85,Indie
601710,Little Nightmares - Original Soundtrack,67,91.04,424840,Little Nightmares,48014,94.79,Adventure
601710,Little Nightmares - Original Soundtrack,67,91.04,424840,Little Nightmares,48014,94.79,Adventure
1982980,Arma Reforger Soundtrack,33,69.7,1874880,Arma Reforger,26440,75.75,Action
1982980,Arma Reforger Soundtrack,33,69.7,1874880,Arma Reforger,26440,75.75,Action
1229050,Who's Your Daddy?! Official Soundtrack (2024),20,45.0,427730,Who's Your Daddy?!,24383,80.86,Action
1229050,Who's Your Daddy?! Official Soundtrack (2024),20,45.0,427730,Who's Your Daddy?!,24383,80.86,Unknown
1229050,Who's Your Daddy?! Official Soundtrack (2024),20,45.0,427730,Who's Your Daddy?!,24383,80.86,Action
1229050,Who's Your Daddy?! Official Soundtrack (2024),20,45.0,427730,Who's Your Daddy?!,24383,80.86,Action
1271680,DJMAX RESPECT V - TRILOGY Original Soundtrack(REMASTERED),38,81.58,960170,DJMAX RESPECT V,24810,89.61,Action
1271680,DJMAX RESPECT V - TRILOGY Original Soundtrack(REMASTERED),38,81.58,960170,DJMAX RESPECT V,24810,89.61,Action
1271680,DJMAX RESPECT V - TRILOGY Original Soundtrack(REMASTERED),38,81.58,960170,DJMAX RESPECT V,24810,89.61,Action
1271680,DJMAX RESPECT V - TRILOGY Original Soundtrack(REMASTERED),38,81.58,960170,DJMAX RESPECT V,24810,89.61,Unknown
1271680,DJMAX RESPECT V - TRILOGY Original Soundtrack(REMASTERED),38,81.58,960170,DJMAX RESPECT V,24810,89.61,Action
1271680,DJMAX RESPECT V - TRILOGY Original Soundtrack(REMASTERED),38,81.58,960170,DJMAX RESPECT V,24810,89.61,Action
1271680,DJMAX RESPECT V - TRILOGY Original Soundtrack(REMASTERED),38,81.58,960170,DJMAX RESPECT V,24810,89.61,Action
1271680,DJMAX RESPECT V - TRILOGY Original Soundtrack(REMASTERED),38,81.58,960170,DJMAX RESPECT V,24810,89.61,Action
1293620,Assemble with Care Soundtrack,35,94.29,1202900,Assemble with Care,7301,90.88,Casual
522620,Lost Castle: Official Soundtrack,63,88.89,434650,Lost Castle / 失落城堡,18061,87.48,Action
1228810,Age of Empires II: Definitive Edition Soundtrack,43,74.42,813780,Age of Empires II: Definitive Edition,141188,94.89,Strategy
1228810,Age of Empires II: Definitive Edition Soundtrack,43,74.42,813780,Age of Empires II: Definitive Edition,141188,94.89,Strategy
1245180,Marco & The Galaxy Dragon - Soundtrack,22,59.09,1202540,Marco & The Galaxy Dragon,6588,97.56,Adventure
1245180,Marco & The Galaxy Dragon - Soundtrack,22,59.09,1202540,Marco & The Galaxy Dragon,6588,97.56,Adventure
2363990,FlipWitch - Forbidden Sex Hex Soundtrack,26,100.0,1748620,FlipWitch - Forbidden Sex Hex,4419,94.57,Action
2363990,FlipWitch - Forbidden Sex Hex Soundtrack,26,100.0,1748620,FlipWitch - Forbidden Sex Hex,4419,94.57,Action
1050460,Devil May Cry 5 Original Soundtrack,72,100.0,601150,Devil May Cry 5,98104,96.19,Action
1050460,Devil May Cry 5 Original Soundtrack,72,100.0,601150,Devil May Cry 5,98104,96.19,Action
1050460,Devil May Cry 5 Original Soundtrack,72,100.0,601150,Devil May Cry 5,98104,96.19,Action
584141,Hearts of Iron IV: Sabaton Soundtrack Vol. 2,249,77.91,394360,Hearts of Iron IV,235352,91.63,Simulation
584141,Hearts of Iron IV: Sabaton Soundtrack Vol. 2,249,77.91,394360,Hearts of Iron IV,235352,91.63,Simulation
584141,Hearts of Iron IV: Sabaton Soundtrack Vol. 2,249,77.91,394360,Hearts of Iron IV,235352,91.63,Simulation
1645220,NEEDY GIRL OVERDOSE Soundtrack,226,97.79,1451940,NEEDY STREAMER OVERLOAD,43737,94.9,Adventure
1107290,My Friend Pedro Soundtrack,41,95.12,557340,My Friend Pedro,23634,96.0,Action
1107290,My Friend Pedro Soundtrack,41,95.12,557340,My Friend Pedro,23634,96.0,Action
1107290,My Friend Pedro Soundtrack,41,95.12,557340,My Friend Pedro,23634,96.0,Action
1238762,DJMAX RESPECT V - RESPECT Original Soundtrack,31,83.87,960170,DJMAX RESPECT V,24810,89.61,Action
1238762,DJMAX RESPECT V - RESPECT Original Soundtrack,31,83.87,960170,DJMAX RESPECT V,24810,89.61,Action
1238762,DJMAX RESPECT V - RESPECT Original Soundtrack,31,83.87,960170,DJMAX RESPECT V,24810,89.61,Action
1238762,DJMAX RESPECT V - RESPECT Original Soundtrack,31,83.87,960170,DJMAX RESPECT V,24810,89.61,Unknown
1238762,DJMAX RESPECT V - RESPECT Original Soundtrack,31,83.87,960170,DJMAX RESPECT V,24810,89.61,Action
1238762,DJMAX RESPECT V - RESPECT Original Soundtrack,31,83.87,960170,DJMAX RESPECT V,24810,89.61,Action
1238762,DJMAX RESPECT V - RESPECT Original Soundtrack,31,83.87,960170,DJMAX RESPECT V,24810,89.61,Action
1238762,DJMAX RESPECT V - RESPECT Original Soundtrack,31,83.87,960170,DJMAX RESPECT V,24810,89.61,Action
520500,Soundtrack & Artbook DLC,34,82.35,435530,The Final Station,6162,87.88,Action
1856390,TROUBLESHOOTER: Abandoned Children - White Lion and Black Witch - Soundtrack,37,100.0,470310,TROUBLESHOOTER: Abandoned Children,8760,94.11,Unknown
1856390,TROUBLESHOOTER: Abandoned Children - White Lion and Black Witch - Soundtrack,37,100.0,470310,TROUBLESHOOTER: Abandoned Children,8760,94.11,Casual
1856390,TROUBLESHOOTER: Abandoned Children - White Lion and Black Witch - Soundtrack,37,100.0,470310,TROUBLESHOOTER: Abandoned Children,8760,94.11,Casual
862810,Hellblade: Senua's Sacrifice Original Soundtrack,109,91.74,414340,Hellblade: Senua's Sacrifice,63934,90.34,Action
1701720,Rust Soundtrack,153,81.7,252490,Rust,1013090,87.67,Action
1701720,Rust Soundtrack,153,81.7,252490,Rust,1013090,87.67,Action
1233280,The Witcher 3: Wild Hunt - Hearts of Stone Soundtrack,37,89.19,292030,The Witcher 3: Wild Hunt,757401,96.83,RPG
1233280,The Witcher 3: Wild Hunt - Hearts of Stone Soundtrack,37,89.19,292030,The Witcher 3: Wild Hunt,757401,96.83,RPG
1233280,The Witcher 3: Wild Hunt - Hearts of Stone Soundtrack,37,89.19,292030,The Witcher 3: Wild Hunt,757401,96.83,RPG
1233280,The Witcher 3: Wild Hunt - Hearts of Stone Soundtrack,37,89.19,292030,The Witcher 3: Wild Hunt,757401,96.83,RPG
1233280,The Witcher 3: Wild Hunt - Hearts of Stone Soundtrack,37,89.19,292030,The Witcher 3: Wild Hunt,757401,96.83,RPG
2021310,The Stanley Parable: Ultra Deluxe Soundtrack,20,95.0,1703340,The Stanley Parable: Ultra Deluxe,28802,94.3,Adventure
2021310,The Stanley Parable: Ultra Deluxe Soundtrack,20,95.0,1703340,The Stanley Parable: Ultra Deluxe,28802,94.3,Adventure
468280,Soundtrack + Audiobook,23,91.3,274500,Brigador: Up-Armored Edition,4255,94.52,Action
2182230,Otaku's Adventure Soundtrack,31,96.77,937170,Otaku's Adventure,7575,94.86,Adventure
2182230,Otaku's Adventure Soundtrack,31,96.77,937170,Otaku's Adventure,7575,94.86,Adventure
1016520,Pikuniku Soundtrack + Comic,57,87.72,572890,Pikuniku,8420,96.05,Action
1016520,Pikuniku Soundtrack + Comic,57,87.72,572890,Pikuniku,8420,96.05,Action
947820,Distance - Soundtrack & Art Book,26,100.0,233610,Distance,5433,93.47,Action
461160,Fallout: New Vegas - Soundtrack,45,88.89,22380,Fallout: New Vegas,181901,96.04,Action
1247140,"War Thunder: Ground Forces, Vol.1 (Original Game Soundtrack)",20,75.0,236390,War Thunder,1770,71.69,Action
1247140,"War Thunder: Ground Forces, Vol.1 (Original Game Soundtrack)",20,75.0,236390,War Thunder,1770,71.69,Action
1247140,"War Thunder: Ground Forces, Vol.1 (Original Game Soundtrack)",20,75.0,236390,War Thunder,1770,71.69,Action
1247140,"War Thunder: Ground Forces, Vol.1 (Original Game Soundtrack)",20,75.0,236390,War Thunder,1770,71.69,Action
2117970,Slime Rancher 2 Soundtrack,25,96.0,1657630,Slime Rancher 2,29317,94.4,Action
276190,Red Faction Armageddon Soundtrack,22,72.73,55110,Red Faction®: Armageddon™,2495,70.94,Action
1069730,Avorion - Soundtrack,20,90.0,445220,Avorion,12133,90.23,Action
1069730,Avorion - Soundtrack,20,90.0,445220,Avorion,12133,90.23,Action
1069730,Avorion - Soundtrack,20,90.0,445220,Avorion,12133,90.23,Action
2303120,Atomic Heart - Original Soundtrack,119,89.92,668580,Atomic Heart,28796,82.34,Action
2303120,Atomic Heart - Original Soundtrack,119,89.92,668580,Atomic Heart,28796,82.34,Action
1982980,Arma Reforger Soundtrack,33,69.7,1874880,Arma Reforger,26440,75.75,Action
1982980,Arma Reforger Soundtrack,33,69.7,1874880,Arma Reforger,26440,75.75,Action
1738020,Cookie Clicker Soundtrack,44,81.82,1454400,Cookie Clicker,74463,96.7,Casual
2054540,Neon White - Original Soundtrack,52,100.0,1533420,Neon White,14765,98.25,Action
2054540,Neon White - Original Soundtrack,52,100.0,1533420,Neon White,14765,98.25,Action
1107290,My Friend Pedro Soundtrack,41,95.12,557340,My Friend Pedro,23634,96.0,Action
1107290,My Friend Pedro Soundtrack,41,95.12,557340,My Friend Pedro,23634,96.0,Action
1107290,My Friend Pedro Soundtrack,41,95.12,557340,My Friend Pedro,23634,96.0,Action
1239060,Kara no Shojo Soundtrack,27,100.0,965810,Kara no Shojo,370,91.35,Adventure
1239060,Kara no Shojo Soundtrack,27,100.0,965810,Kara no Shojo,370,91.35,Adventure
776650,Ash of Gods - Original Soundtrack,30,93.33,691690,Ash of Gods: Redemption,2842,73.5,Adventure
1659770,Robolife-Days with Aino Soundtrack,24,95.83,1477810,Robolife-Days with Aino,1343,91.36,Indie
1275730,:THE LONGING: Soundtrack,24,100.0,893850,THE LONGING,6281,92.31,Adventure
457840,Enter the Gungeon - Soundtrack,54,88.89,311690,Enter the Gungeon,75067,95.58,Action
1781130,Bright Memory: Infinite Soundtrack,52,98.08,1178830,Bright Memory: Infinite,35109,91.95,Action
2890860,I Wani Hug that Gator! Original Soundtrack,43,100.0,1895350,I Wani Hug that Gator!,4327,98.64,Casual
1069730,Avorion - Soundtrack,20,90.0,445220,Avorion,12133,90.23,Action
1069730,Avorion - Soundtrack,20,90.0,445220,Avorion,12133,90.23,Action
1069730,Avorion - Soundtrack,20,90.0,445220,Avorion,12133,90.23,Action
1877810,Iron Lung Soundtrack,28,92.86,1846170,Iron Lung,7497,92.49,Adventure
1877810,Iron Lung Soundtrack,28,92.86,1846170,Iron Lung,7497,92.49,Adventure
1207610,WolfQuest Original Soundtrack,41,95.12,926990,WolfQuest: Anniversary Edition,8635,97.87,Action
1207610,WolfQuest Original Soundtrack,41,95.12,926990,WolfQuest: Anniversary Edition,8635,97.87,Action
2194520,Mount & Blade II: Bannerlord Soundtrack,45,91.11,261550,Mount & Blade II: Bannerlord,204072,87.92,Action
2194520,Mount & Blade II: Bannerlord Soundtrack,45,91.11,261550,Mount & Blade II: Bannerlord,204072,87.92,Action
1296640,千面 Melancholy Love Soundtrack,32,100.0,1168470,千面 Melancholy Love,2002,94.61,Adventure
2007440,POSTAL Brain Damaged Soundtrack,28,92.86,1359980,POSTAL: Brain Damaged,7331,95.91,Action
2007440,POSTAL Brain Damaged Soundtrack,28,92.86,1359980,POSTAL: Brain Damaged,7331,95.91,Action
1244270,RimWorld - Royalty Soundtrack,43,95.35,294100,RimWorld,176847,97.96,Indie
1244270,RimWorld - Royalty Soundtrack,43,95.35,294100,RimWorld,176847,97.96,Indie
1244270,RimWorld - Royalty Soundtrack,43,95.35,294100,RimWorld,176847,97.96,Indie
1244270,RimWorld - Royalty Soundtrack,43,95.35,294100,RimWorld,176847,97.96,Indie
313760,Soul Gambler: Artbook & Soundtrack,54,90.74,313020,Soul Gambler,2167,87.22,Adventure
501750,True Love ～Confide to the Maple～ - Original Soundtrack,47,97.87,495990,True Love ～Confide to the Maple～,1295,84.32,Adventure
461740,Tower Unite - Soundtrack,47,85.11,394690,Tower Unite,15415,89.78,Action
3399450,FINAL FANTASY VII REBIRTH Original Soundtrack,26,80.77,2909400,FINAL FANTASY VII REBIRTH,13597,78.08,Action
2974310,God of War Ragnarök Soundtrack,21,71.43,2322010,God of War Ragnarök,19650,87.1,Action
1233280,The Witcher 3: Wild Hunt - Hearts of Stone Soundtrack,37,89.19,292030,The Witcher 3: Wild Hunt,757405,96.83,RPG
1233280,The Witcher 3: Wild Hunt - Hearts of Stone Soundtrack,37,89.19,292030,The Witcher 3: Wild Hunt,757405,96.83,RPG
1233280,The Witcher 3: Wild Hunt - Hearts of Stone Soundtrack,37,89.19,292030,The Witcher 3: Wild Hunt,757405,96.83,RPG
1233280,The Witcher 3: Wild Hunt - Hearts of Stone Soundtrack,37,89.19,292030,The Witcher 3: Wild Hunt,757405,96.83,RPG
1233280,The Witcher 3: Wild Hunt - Hearts of Stone Soundtrack,37,89.19,292030,The Witcher 3: Wild Hunt,757405,96.83,RPG
2216070,"Warhammer 40,000: Darktide (Original Soundtrack)",73,84.93,1361210,"Warhammer 40,000: Darktide",89432,71.07,Action
2216070,"Warhammer 40,000: Darktide (Original Soundtrack)",73,84.93,1361210,"Warhammer 40,000: Darktide",89432,71.07,Action
807320,Into the Breach Soundtrack,31,96.77,590380,Into the Breach,16958,94.52,Indie
3001960,Summer Clover -Soundtrack-,86,77.91,2458860,Summer Clover,6478,98.09,Adventure
1867890,Sword and Fairy 7 Soundtrack,43,90.7,1543030,Sword and Fairy 7,14860,72.44,Unknown
1867890,Sword and Fairy 7 Soundtrack,43,90.7,1543030,Sword and Fairy 7,14860,72.44,Action
1455340,Rabi-Ribi - Orchestra Arrangement Soundtrack,27,100.0,400910,Rabi-Ribi,10383,95.64,Unknown
1455340,Rabi-Ribi - Orchestra Arrangement Soundtrack,27,100.0,400910,Rabi-Ribi,10383,95.64,Action
1455340,Rabi-Ribi - Orchestra Arrangement Soundtrack,27,100.0,400910,Rabi-Ribi,10383,95.64,Action
1402630,Freedom Fighters Soundtrack,38,97.37,1347780,Freedom Fighters,1832,94.54,Action
1402630,Freedom Fighters Soundtrack,38,97.37,1347780,Freedom Fighters,1832,94.54,Action
1238762,DJMAX RESPECT V - RESPECT Original Soundtrack,31,83.87,960170,DJMAX RESPECT V,24810,89.61,Action
1238762,DJMAX RESPECT V - RESPECT Original Soundtrack,31,83.87,960170,DJMAX RESPECT V,24810,89.61,Action
1238762,DJMAX RESPECT V - RESPECT Original Soundtrack,31,83.87,960170,DJMAX RESPECT V,24810,89.61,Action
1238762,DJMAX RESPECT V - RESPECT Original Soundtrack,31,83.87,960170,DJMAX RESPECT V,24810,89.61,Unknown
1238762,DJMAX RESPECT V - RESPECT Original Soundtrack,31,83.87,960170,DJMAX RESPECT V,24810,89.61,Action
1238762,DJMAX RESPECT V - RESPECT Original Soundtrack,31,83.87,960170,DJMAX RESPECT V,24810,89.61,Action
1238762,DJMAX RESPECT V - RESPECT Original Soundtrack,31,83.87,960170,DJMAX RESPECT V,24810,89.61,Action
1238762,DJMAX RESPECT V - RESPECT Original Soundtrack,31,83.87,960170,DJMAX RESPECT V,24810,89.61,Action
1079460,Descenders Soundtrack,40,80.0,681280,Descenders,15467,95.27,Action
1079460,Descenders Soundtrack,40,80.0,681280,Descenders,15467,95.27,Action
1079460,Descenders Soundtrack,40,80.0,681280,Descenders,15467,95.27,Action
612210,Hacknet - Labyrinths Official Soundtrack,23,95.65,365450,Hacknet,15984,93.95,Indie
612210,Hacknet - Labyrinths Official Soundtrack,23,95.65,365450,Hacknet,15984,93.95,Indie
1069730,Avorion - Soundtrack,20,90.0,445220,Avorion,12133,90.23,Action
1069730,Avorion - Soundtrack,20,90.0,445220,Avorion,12133,90.23,Action
1069730,Avorion - Soundtrack,20,90.0,445220,Avorion,12133,90.23,Action
1470640,Our Life: Beginnings & Always Soundtrack,20,100.0,1129190,Our Life: Beginnings & Always,422,99.53,Casual
1521440,Flowers Blooming at the End of Summer Soundtrack,37,97.3,1173010,Flowers Blooming at the End of Summer,1888,96.03,Casual
1440610,Superliminal Soundtrack Double Album,35,88.57,1049410,Superliminal,24902,94.81,Action
1100130,They Are Billions - Soundtrack & Art Book,46,91.3,644930,They Are Billions,43517,85.08,Strategy
1100130,They Are Billions - Soundtrack & Art Book,46,91.3,644930,They Are Billions,43517,85.08,Strategy
1100130,They Are Billions - Soundtrack & Art Book,46,91.3,644930,They Are Billions,43517,85.08,Strategy
1232080,Thronebreaker: The Witcher Tales Soundtrack,27,81.48,973760,Thronebreaker: The Witcher Tales,14470,89.99,Adventure
1232080,Thronebreaker: The Witcher Tales Soundtrack,27,81.48,973760,Thronebreaker: The Witcher Tales,14470,89.99,Adventure
986250,GRIS Soundtrack,188,94.15,683320,GRIS,71859,96.48,Adventure
1257570,Two Point Hospital Soundtrack,20,95.0,535930,Two Point Hospital,25137,92.6,Indie
1257570,Two Point Hospital Soundtrack,20,95.0,535930,Two Point Hospital,25137,92.6,Indie
1247130,"War Thunder: Air Forces, Vol.1 (Original Game Soundtrack)",30,73.33,236390,War Thunder,1770,71.69,Action
1247130,"War Thunder: Air Forces, Vol.1 (Original Game Soundtrack)",30,73.33,236390,War Thunder,1770,71.69,Action
1247130,"War Thunder: Air Forces, Vol.1 (Original Game Soundtrack)",30,73.33,236390,War Thunder,1770,71.69,Action
1247130,"War Thunder: Air Forces, Vol.1 (Original Game Soundtrack)",30,73.33,236390,War Thunder,1770,71.69,Action
1709930,I Am Fish Soundtrack,22,63.64,1472560,I Am Fish,2093,75.73,Adventure
1709930,I Am Fish Soundtrack,22,63.64,1472560,I Am Fish,2093,75.73,Adventure
1762140,Before Your Eyes - Soundtrack and Artbook,21,95.24,1082430,Before Your Eyes,15490,97.95,Adventure
912540,Monster Hunter: World Original Soundtrack,135,94.07,582010,Monster Hunter: World,296007,89.08,Action
1525720,Skul: The Hero Slayer Soundtrack,39,89.74,1147560,Skul: The Hero Slayer,48177,93.41,Action
1386600,A Summer's End - Hong Kong 1986 Soundtrack,30,96.67,1111370,A Summer's End - Hong Kong 1986,1867,96.25,Casual
1244270,RimWorld - Royalty Soundtrack,43,95.35,294100,RimWorld,176847,97.96,Indie
1244270,RimWorld - Royalty Soundtrack,43,95.35,294100,RimWorld,176847,97.96,Indie
1244270,RimWorld - Royalty Soundtrack,43,95.35,294100,RimWorld,176847,97.96,Indie
1244270,RimWorld - Royalty Soundtrack,43,95.35,294100,RimWorld,176847,97.96,Indie
1140120,Darkwood - Soundtrack,26,96.15,274520,Darkwood,19063,95.04,Action
1100130,They Are Billions - Soundtrack & Art Book,46,91.3,644930,They Are Billions,43517,85.08,Strategy
1100130,They Are Billions - Soundtrack & Art Book,46,91.3,644930,They Are Billions,43517,85.08,Strategy
1100130,They Are Billions - Soundtrack & Art Book,46,91.3,644930,They Are Billions,43517,85.08,Strategy
456470,BEEP - Soundtrack,42,90.48,104200,BEEP,3923,85.14,Adventure
2265850,觅长生 Soundtrack,60,98.33,1189490,觅长生,24203,93.35,Indie
2265850,觅长生 Soundtrack,60,98.33,1189490,觅长生,24203,93.35,Indie
545170,Razortron 2000: Soundtrack,39,94.87,539720,Razortron 2000,1836,85.46,Casual
545170,Razortron 2000: Soundtrack,39,94.87,539720,Razortron 2000,1836,85.46,Casual
1229370,The Witcher: Enhanced Edition Soundtrack,25,84.0,20900,The Witcher: Enhanced Edition Director's Cut,57583,89.33,Action
1245180,Marco & The Galaxy Dragon - Soundtrack,22,59.09,1202540,Marco & The Galaxy Dragon,6588,97.56,Adventure
1245180,Marco & The Galaxy Dragon - Soundtrack,22,59.09,1202540,Marco & The Galaxy Dragon,6588,97.56,Adventure
461800,Hearts of Iron IV: Sabaton Soundtrack,385,75.84,394360,Hearts of Iron IV,235352,91.63,Simulation
461800,Hearts of Iron IV: Sabaton Soundtrack,385,75.84,394360,Hearts of Iron IV,235352,91.63,Simulation
461800,Hearts of Iron IV: Sabaton Soundtrack,385,75.84,394360,Hearts of Iron IV,235352,91.63,Simulation
1811530,Secret Pie Soundtrack,47,40.43,1802870,Secret Pie (Adult Version),2237,85.2,Adventure
1244160,Oxygen Not Included Soundtrack,101,98.02,457140,Oxygen Not Included,119727,96.82,Indie
1244160,Oxygen Not Included Soundtrack,101,98.02,457140,Oxygen Not Included,119727,96.82,Indie
1247270,Divinity: Original Sin 2 Soundtrack,68,95.59,435150,Divinity: Original Sin 2 - Definitive Edition,165569,95.72,Unknown
1247270,Divinity: Original Sin 2 Soundtrack,68,95.59,435150,Divinity: Original Sin 2 - Definitive Edition,165569,95.72,Adventure
553670,Beholder - Original Soundtrack,151,96.69,475550,Beholder,19947,91.92,Unknown
553670,Beholder - Original Soundtrack,151,96.69,475550,Beholder,19947,91.92,Adventure
3202590,The Forever Winter Soundtrack,54,100.0,2828860,The Forever Winter,16416,72.77,Action
583810,Resident Evil 7 biohazard Original Soundtrack,59,93.22,418370,Resident Evil 7 Biohazard,65584,95.28,Action
